LZIP,NCESSCH,SAT Score Average,Charter School,Magnet School,% Free and Reduced Lunch,# HS Students,% Male,% Female,# FT Teachers,Teacher-Student Ratio
60625,170993000587,971.1,0,0,75.32971295577967,1289,52.75407292474787,47.24592707525213,87.00,14.82
60616,170993000588,788.4,0,0,95.83333333333333,312,47.11538461538461,52.88461538461539,28.00,11.14
60652,170993000626,806.4,0,0,89.97584541062803,828,55.072463768115945,44.927536231884055,51.00,16.24
60827,170993000671,928.2,0,0,85.03118503118503,481,51.975051975051976,48.024948024948024,26.00,18.50
60639,170993000681,953.7,0,0,89.14845516201959,1327,45.666917859834214,54.333082140165786,82.00,16.18
60607,170993000714,1292.8,0,1,37.81702898550725,1965,45.606884057971016,54.393115942028984,114.00,19.37
60609,170993000718,776.2,0,0,99.07834101382488,217,48.8479262672811,51.1520737327189,22.00,9.86
60608,170993000722,847.2,0,0,71.87316500293599,1702,50.96887844979448,49.03112155020552,112.50,15.14
60620,170993000758,822.9,0,0,88.57356235997013,1339,43.09185959671397,56.90814040328603,74.00,18.09
60623,170993000788,827.5,0,0,97.24770642201835,637,52.75229357798165,47.24770642201835,54.00,12.11
60628,170993000792,764.3,0,0,92.61083743842364,203,45.8128078817734,54.1871921182266,14.00,14.50
60641,170993000799,786.0,0,0,94.45945945945945,740,53.648648648648646,46.351351351351354,58.00,12.76
60629,170993000809,779.6,0,0,97.07602339181287,342,56.14035087719298,43.85964912280702,25.50,13.41
60628,170993000851,780.3,0,0,94.8170731707317,328,57.31707317073171,42.68292682926829,23.00,14.26
60636,170993000852,756.9,0,0,90.69767441860465,86,56.97674418604651,43.02325581395349,10.00,8.60
60619,170993000879,766.9,0,1,98.9795918367347,98,54.08163265306123,45.91836734693877,10.00,9.80
60629,170993000889,879.2,0,0,95.50561797752809,1691,53.163808397397986,46.836191602602014,101.50,16.66
60637,170993000893,810.6,0,0,96.77835051546391,776,51.675257731958766,48.324742268041234,54.00,14.37
60643,170993000895,764.8,0,0,85.74610244988864,449,51.00222717149221,48.99777282850779,37.00,12.14
60632,170993000920,858.4,0,0,94.14248021108179,1895,51.82058047493404,48.17941952506596,124.00,15.28
60639,170993000923,835.3,0,0,96.80589680589681,276,50.122850122850124,49.877149877149876,31.50,12.92
60638,170993000924,951.6,0,0,66.183879093199,1588,48.92947103274559,51.07052896725441,100.00,15.88
60615,170993000925,1020.0,0,0,57.096774193548384,1572,42.526881720430104,57.473118279569896,98.00,18.98
60653,170993000931,1025.7,0,1,79.1828793774319,514,43.3852140077821,56.6147859922179,41.00,12.54
60613,170993000941,929.3,0,0,72.30657989877079,1383,52.639190166305134,47.360809833694866,94.50,14.63
60618,170993000942,1235.6,0,1,43.61301748948417,4283,46.380340934248395,53.619659065751605,235.00,19.22
60617,170993000943,781.7,0,0,92.58836944127708,877,47.548460661345494,52.451539338654506,64.00,13.70
60624,170993000972,764.7,0,1,96.81274900398407,251,49.00398406374502,50.99601593625498,27.00,9.30
60659,170993000977,911.9,0,0,86.47375504710632,1486,56.123822341857334,43.876177658142666,96.50,15.40
60605,170993000990,1284.6,0,1,37.473794549266245,1908,40.61844863731656,59.38155136268344,108.00,17.67
