School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
21ST CENTURY PRIMARY CENTER,Illinois,1730810,60466,1-Regular school,2-No,2-No,2-No,147,124,†,86,61,15.81,9.30,173081003429,17
7TH GRADE ACADEMY,Illinois,1708040,62206,1-Regular school,2-No,2-No,2-No,229,219,†,114,115,12.20,18.77,170804006232,17
8TH GRADE ACADEMY,Illinois,1708040,62206,1-Regular school,2-No,2-No,2-No,243,228,†,124,119,13.60,17.87,170804006210,17
A B SHEPARD HIGH SCH (CAMPUS),Illinois,1706540,60463,1-Regular school,2-No,2-No,2-No,1753,1101,1753,918,835,117.76,14.89,170654000339,17
A E R O EDUCATIONAL CENTER,Illinois,1700024,60459,2-Special education school,2-No,2-No,2-No,100,45,40,77,23,27.60,3.62,170002404632,17
A F AMES ELEM SCHOOL,Illinois,1733990,60546,1-Regular school,2-No,2-No,2-No,360,76,†,201,159,27.19,13.24,173399003491,17
A J KATZENMAIER ACADEMY,Illinois,1700110,60064,1-Regular school,2-No,2-No,2-No,399,394,†,197,202,23.00,17.35,170011004814,17
A O MARSHALL ELEM SCHOOL,Illinois,1720580,60432,1-Regular school,2-No,2-No,2-No,473,467,†,245,228,28.00,16.89,172058002323,17
A VITO MARTINEZ MIDDLE SCHOOL,Illinois,1740070,60446,1-Regular school,2-No,2-No,2-No,796,462,†,399,397,54.66,14.56,174007004037,17
A-C CENTRAL ELEMENTARY SCHOOL,Illinois,1700105,62627,1-Regular school,2-No,2-No,2-No,166,80,†,78,88,11.37,14.60,170010505359,17
A-C CENTRAL HIGH SCHOOL,Illinois,1700105,62612,1-Regular school,2-No,2-No,2-No,129,53,129,65,64,12.22,10.56,170010505357,17
A-C CENTRAL MIDDLE SCHOOL,Illinois,1700105,62612,1-Regular school,2-No,2-No,2-No,117,52,†,66,51,8.91,13.13,170010500245,17
A.E.R.O-CONNECT PROG-SATELLITE,ILLINOIS,1700024,60459,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,7.00,†,170002406574,17
A.E.R.O-FUNCTIONAL ACAD LEARNING-,ILLINOIS,1700024,60459,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,5.00,†,170002406575,17
A.E.R.O-STAR (AUTISM)-SATELLITE,ILLINOIS,1700024,60459,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,9.00,†,170002406581,17
A.E.R.O. EC PROGRAM-SATELLITE,ILLINOIS,1700024,60459,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,1.00,†,170002406580,17
A.E.R.O.-COMM. DEVELOP.-SATELLITE,ILLINOIS,1700024,60459,2-Special education school,2-No,2-No,2-No,–,–,†,†,†,2.00,†,170002406582,17
ABBOTT MIDDLE SCHOOL,Illinois,1713710,60123,1-Regular school,2-No,2-No,2-No,690,542,†,363,327,44.01,15.68,171371001664,17
ABE LINCOLN ELEM SCHOOL,Illinois,1710200,60804,1-Regular school,2-No,2-No,2-No,887,829,†,476,411,58.70,15.11,171020001235,17
ABINGDON-AVON HIGH SCH,Illinois,1701413,61410,1-Regular school,2-No,2-No,2-No,263,118,263,134,129,16.96,15.51,170141306274,17
ABINGDON-AVON MIDDLE SCH,Illinois,1701413,61415,1-Regular school,2-No,2-No,2-No,226,125,†,119,107,18.26,12.38,170141306247,17
ABLE PROGRAM,Illinois,1701383,60428,2-Special education school,2-No,2-No,2-No,67,51,23,53,14,11.00,6.09,170138305899,17
ABRAHAM LINCOLN ELEM SCHOOL,Illinois,1716800,60137,1-Regular school,2-No,2-No,2-No,543,56,†,264,279,34.14,15.91,171680001981,17
ABRAHAM LINCOLN ELEM SCHOOL,Illinois,1705610,62226,1-Regular school,2-No,2-No,2-No,555,441,†,282,273,30.25,18.35,170561000231,17
ABRAHAM LINCOLN ELEM SCHOOL,Illinois,1729250,60304,1-Regular school,2-No,2-No,2-No,685,118,†,361,324,49.30,13.89,172925003060,17
ABRAHAM LINCOLN MIDDLE SCHOOL,Illinois,1734510,61104,1-Regular school,2-No,2-No,2-No,662,531,†,325,337,49.80,13.29,173451003558,17
ACAD FOR LIFELONG LEARNING,ILLINOIS,1700029,60411,2-Special education school,2-No,2-No,2-No,31,27,31,22,9,3.00,10.33,170002906337,17
ACADEMIC BEHAVIOR&COMMUNITY ACAD,Illinois,1700162,62301,4-Alternative/other school,2-No,2-No,2-No,25,21,23,19,6,3.00,8.33,170016206156,17
ACADEMY FOR GLOBAL CITIZENSHIP,Illinois,1709930,60632,1-Regular school,1-Yes,2-No,2-No,466,330,†,231,235,31.00,15.03,170993006035,17
ACADEMY FOR LEARNING,Illinois,1701383,60419,2-Special education school,2-No,2-No,2-No,58,52,57,46,12,15.00,3.87,170138305900,17
ACERO CHTR  ROBERTO CLEMENTE CMPS,ILLINOIS,1709930,60707,1-Regular school,1-Yes,2-No,2-No,534,472,†,284,250,30.00,17.80,170993006524,17
ACERO CHTR  SOR JUANA INES DE LA,ILLINOIS,1709930,60645,1-Regular school,1-Yes,2-No,2-No,657,609,164,322,335,53.00,12.40,170993006508,17
