LEA_NAME,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,NCESSCH,Type,Score Average,Most Recent Year,LAT,LON
City of Chicago SD 299,Amundsen High School,5110 N Damen Ave,Chicago,IL,60625,170993000587,SAT,971.1,2019,41.975232,-87.680089
City of Chicago SD 299,Dunbar Vocational Career Acad HS,3000 S King Dr,Chicago,IL,60616,170993000588,SAT,788.4,2019,41.839591,-87.618741
City of Chicago SD 299,Bogan High School,3939 W 79th St,Chicago,IL,60652,170993000626,SAT,806.4,2019,41.748598,-87.720583
City of Chicago SD 299,Carver Military Academy HS,13100 S Doty Ave,Chicago,IL,60827,170993000671,SAT,928.2,2019,41.656534,-87.589046
City of Chicago SD 299,Prosser Career Academy HS,2148 N Long Ave,Chicago,IL,60639,170993000681,SAT,953.7,2019,41.91938,-87.761802
City of Chicago SD 299,Young Magnet High School,211 S Laflin St,Chicago,IL,60607,170993000714,SAT,1292.8,2019,41.87827,-87.663686
City of Chicago SD 299,Richards Career Academy HS,5009 S Laflin St,Chicago,IL,60609,170993000718,SAT,776.2,2019,41.802843,-87.662097
City of Chicago SD 299,Juarez Community Academy HS,1450 W Cermak Rd,Chicago,IL,60608,170993000722,SAT,847.2,2019,41.852914,-87.66456
City of Chicago SD 299,Simeon Career Academy High School,8147 S Vincennes Ave,Chicago,IL,60620,170993000758,SAT,822.9,2019,41.74549,-87.634742
City of Chicago SD 299,Farragut Career Academy HS,2345 S Christiana Av,Chicago,IL,60623,170993000788,SAT,827.5,2019,41.849562,-87.708282
City of Chicago SD 299,Fenger Academy High School,11220 S Wallace St,Chicago,IL,60628,170993000792,SAT,764.3,2019,41.689552,-87.637839
City of Chicago SD 299,Foreman High School,3235 N Leclaire Ave,Chicago,IL,60641,170993000799,SAT,786,2019,41.939595,-87.753937
City of Chicago SD 299,Gage Park High School,5630 S Rockwell St,Chicago,IL,60629,170993000809,SAT,779.6,2019,41.79102,-87.689367
City of Chicago SD 299,Harlan Community Academy HS,9652 S Michigan Ave,Chicago,IL,60628,170993000851,SAT,780.3,2019,41.71875,-87.621348
City of Chicago SD 299,Harper High School,6520 S Wood St,Chicago,IL,60636,170993000852,SAT,756.9,2019,41.775322,-87.669837
City of Chicago SD 299,Hirsch Metropolitan High School,7740 S Ingleside Ave,Chicago,IL,60619,170993000879,SAT,766.9,2019,41.753954,-87.601929
City of Chicago SD 299,Hubbard High School,6200 S Hamlin Ave,Chicago,IL,60629,170993000889,SAT,879.2,2019,41.780103,-87.718726
City of Chicago SD 299,Hyde Park Academy High School,6220 S Stony Island,Chicago,IL,60637,170993000893,SAT,810.6,2019,41.78211,-87.587269
City of Chicago SD 299,Julian High School,10330 S Elizabeth St,Chicago,IL,60643,170993000895,SAT,764.8,2019,41.70605,-87.654396
City of Chicago SD 299,Kelly High School,4136 S California Av,Chicago,IL,60632,170993000920,SAT,858.4,2019,41.818178,-87.694838
City of Chicago SD 299,Kelvyn Park High School,4343 W Wrightwood Av,Chicago,IL,60639,170993000923,SAT,835.3,2019,41.92744,-87.736051
